Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,57.9185520361991,2210.8913689999918,10871.067999999997,6187.881130999984,-77.89108631000008,4.71770091556459,-99.30056288876,0.4146054247522946,-99.31737886758523,-239.5061833744384,-1.873304368298272,-1.2401564980743711,-78.05937521034899,0.03567180356721977,-80.07099349392357,-11.628706942291057,104 days 17:00:00,13 days 17:00:00,304,50.32894736842105,5.0113908872901565,-5.009902022097146,-0.10112692956317781,0 days 05:00:00,0 days 05:00:00,0.8802894656343201,-0.08605607001170827,-0.9967194517165989,-0.09019751995947123,ADXReversalStrategy_4p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,72.6998491704374,2657.6420949999897,11157.121210000005,5665.881285000004,-73.4235790500001,4.71770091556459,-98.71891318475552,0.9218098618855778,-98.74599725671867,-107.09248974926814,-1.7695253896730043,-1.2770336819272132,-73.71626357055592,0.06203965147307241,-77.30329636707435,-11.650031934839014,104 days 17:00:00,13 days 16:00:00,264,49.24242424242424,5.011550151975685,-5.017098632109429,-0.1059122577922289,0 days 10:00:00,0 days 07:00:00,0.9103077135722489,-0.08225261242797677,-0.824089434059894,-0.07233120118866876,ADXReversalStrategy_9p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,82.39064856711916,2593.529913599985,10853.894781800002,4988.867926400002,-74.06470086400016,4.71770091556459,-98.81776040764292,0.9446824652815943,-98.84321029835444,-104.6042072752848,-1.6576737135646955,-1.2741798259522785,-74.64677247736526,0.12338035491922196,-77.55401427250655,-12.25654192819807,104 days 17:00:00,13 days 17:00:00,238,49.57983193277311,6.331623134328357,-5.017098632109429,-0.17229827244448215,1 days 03:00:00,0 days 09:00:00,0.8675973359402605,-0.14154337189877667,-1.1143685239504602,-0.10831681844747287,ADXReversalStrategy_26p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,2.9788838612368025,9469.174806799998,10301.596979999997,580.3617932000001,-5.3082519320000205,4.71770091556459,-16.419018354520265,5.910028417537897,-16.492497083201386,-2.778162336038375,-2.4537557275551047,-1.6580685636513515,-5.4129919963575945,0.022201505825012447,-9.902496624363211,-6.159104668168719,74 days 21:00:00,49 days 18:00:00,15,60.0,2.323316638842532,-2.0134967635311973,0.03500566424654572,0 days 05:00:00,0 days 05:00:00,1.094669141210068,0.041715481934910446,0.1113038518252325,0.043063446297396446,RSI7LongStrategy_4p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,4.71342383107089,9643.217047000002,10196.467379999998,579.229453,-3.567829529999981,4.71770091556459,-11.260455286320358,11.245746825944272,-11.312426485970006,-1.0013079131696396,-1.2851405301486805,-1.0920154073040254,-3.7514730136113363,0.03892647857465507,-10.311626750871806,-5.729939669952616,98 days 13:00:00,49 days 18:00:00,15,53.333333333333336,5.0117660242044115,-2.0134967635311973,0.15694060909527963,0 days 10:00:00,0 days 08:00:00,1.2522501663288956,0.17474044849603798,0.3085019257993049,0.0962911288724404,RSI7LongStrategy_9p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,8.069381598793363,9192.103802000001,10192.879260000002,546.935198,-8.078961979999985,4.71770091556459,-24.1950248233864,15.75062135234779,-24.29792733656414,-1.5361314504446446,-1.657437757503999,-1.2316001410952322,-8.417200786760151,0.07169568669439252,-19.645194910314277,-19.645194910314277,99 days 12:00:00,99 days 12:00:00,15,26.666666666666668,5.0117660242044115,-2.0134967635311973,-0.16035954570722266,1 days 03:00:00,0 days 14:00:00,0.9106196269242652,-0.11981376139647894,-0.2547075526032948,-0.043382413906391026,RSI7LongStrategy_26p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,41.44042232277527,4874.226979999996,10246.122800000001,6053.0956000000015,-51.25773020000004,4.71770091556459,-90.99106757830445,4.524081316811293,-90.69510306994744,-20.112606561731223,-2.315233339229628,-1.715906893682905,-52.82042651700843,0.3312410737723454,-53.02797483551538,-53.02797483551538,109 days 21:00:00,109 days 21:00:00,226,45.57522123893805,6.5886939571150105,-4.133210477820192,0.08337382394776327,0 days 05:00:00,0 days 04:00:00,1.1609687665906558,0.10031746381335901,0.5167601261466175,0.037596156608490194,PsarStrategy_4p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,55.2790346907994,4484.150479999984,10246.122800000001,5629.0589999999975,-55.15849520000016,4.71770091556459,-93.26624099484312,3.883668543408885,-92.93670567305668,-24.014984788835452,-2.1623879590192896,-1.6521639841784663,-57.244384044313634,0.44214096689167526,-56.45095879584827,-56.45095879584827,109 days 21:00:00,109 days 21:00:00,226,40.26548672566372,12.524041181129085,-4.133210477820192,0.04544746761616647,0 days 10:00:00,0 days 06:00:00,1.095955874670743,0.06606879869424344,0.07579358586581621,0.002612472971246782,PsarStrategy_9p,ADAUSDT_f1h
2025-05-13 05:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 11:00:00,58.63499245852187,4263.988139999977,10246.122800000001,5629.757479999998,-57.360118600000234,4.71770091556459,-94.29360528724978,3.3285063571802644,-94.01920413027322,-28.329104760109384,-2.1635804286624634,-1.6150486639628516,-59.57176003415634,0.46879644846910135,-58.38437403853898,-58.38437403853898,109 days 21:00:00,109 days 21:00:00,226,40.26548672566372,11.494512953954072,-4.133210477820192,0.022896444534348248,0 days 19:00:00,0 days 06:00:00,1.0630566704616882,0.043416606657567795,-0.0427558689070377,-0.0062934293754799975,PsarStrategy_26p,ADAUSDT_f1h
2025-05-13 04:00:00+00:00,2025-08-31 16:00:00+00:00,110 days 12:00:00,50.0,4883.752004200004,10000.0,2051.4270957999997,-51.16247995799996,3.789792824658919,-90.52602757803507,5.082399413397258,-90.62651605634694,-17.811671262869957,-2.1828868497210765,-1.6493168527292705,-51.676226764886465,0.13556065744378412,-54.88698392199998,-54.88698392199998,109 days,109 days,81,37.03703703703704,6.726539589442826,-5.017080186983103,-0.48832170420580745,0 days 20:00:00,0 days 13:00:00,0.7118242789420862,-0.44078849992838925,-1.6607212708881807,-0.21508410743223427,ADXReversalStrategy_4p,ADAUSDT_f4h
